,Number,Name,Position,Age,Height,Weight,Experience,College
73,4,Jake Elliott,PK,23,5-9,170,2,Memphis
74,6,Caleb Sturgis,PK,28,5-9,192,6,Florida
75,8,Donnie Jones,P,37,6-2,221,15,LSU
76,45,Rick Lovato,LS,25,6-2,249,2,Old Dominion
0,8,Kirk Cousins,QB,29,6-3,202,7,Michigan State
1,12,Colt McCoy,QB,31,6-1,215,9,Texas
2,7,Stephen Morris,QB,25,6-2,219,1,Miami
3,11,Alex Smith,QB,33,6-4,217,14,Utah
4,39,Kapri Bibbs,RB,25,5-11,203,3,Colorado State
5,46,LeShun Daniels Jr.,RB,22,5-11,225,2,Iowa
6,30,Kenny Hilliard,RB,26,5-11,226,1,LSU
7,20,Rob Kelley,RB,25,6-0,233,3,Tulane
8,34,Byron Marshall,RB,23,5-9,201,2,Oregon
9,--,Keith Marshall,RB,23,5-11,222,3,Georgia
10,48,Dare Ogunbowale,RB,23,5-10,205,1,Wisconsin
11,32,Samaje Perine,RB,22,5-10,236,2,Oklahoma
12,25,Chris Thompson,RB,27,5-8,191,5,Florida State
13,80,Jamison Crowder,WR,24,5-9,177,4,Duke
14,19,Robert Davis,WR,22,6-2,217,1,Georgia State
15,18,Josh Doctson,WR,25,6-2,206,3,TCU
16,14,Ryan Grant,WR,27,6-0,204,5,Tulane
17,13,Maurice Harris,WR,25,6-3,200,3,California
18,11,Terrelle Pryor Sr.,WR,28,6-4,228,6,Ohio State
19,83,Brian Quick,WR,28,6-3,218,7,Appalachian State
20,88,Chris Bazile,TE,--,6-4,250,R,Grambling
21,85,Vernon Davis,TE,34,6-3,244,13,Maryland
22,82,Manasseh Garner,TE,25,6-2,241,1,Pittsburgh
23,84,Niles Paul,TE,28,6-1,242,8,Nebraska
24,86,Jordan Reed,TE,27,6-2,246,6,Florida
25,87,Jeremy Sprinkle,TE,23,6-5,252,2,Arkansas
26,66,Tony Bergstrom,C,31,6-5,315,7,Utah
27,61,Spencer Long,C,27,6-5,318,5,Nebraska
28,74,Demetrius Rhaney,C,25,6-2,301,5,Tennessee State
29,73,Chase Roullier,C,24,6-3,317,2,Wyoming
30,62,Alex Balducci,G,23,6-4,310,1,Oregon
31,68,Tyler Catalina,G,25,6-4,325,2,Georgia
32,89,Orlando Franklin,G,30,6-6,315,7,Miami
33,67,Kyle Kalis,G,24,6-4,302,2,Michigan
34,77,Shawn Lauvao,G,30,6-3,308,9,Arizona State
35,75,Brandon Scherff,G,26,6-5,319,4,Iowa
36,70,Kevin Bowen,OT,24,6-9,346,3,East Central
37,69,T.J. Clemmings,OT,26,6-5,309,4,Pittsburgh
38,81,Cameron Jefferson,OT,25,6-5,317,1,Arkansas
39,65,John Kling,OT,24,6-8,328,1,Buffalo
40,60,Arie Kouandjio,OT,25,6-5,316,4,Alabama
41,76,Morgan Moses,OT,26,6-6,335,5,Virginia
42,79,Ty Nsekhe,OT,32,6-8,338,4,Texas State
43,71,Trent Williams,OT,29,6-5,320,9,Oklahoma
46,95,Jonathan Allen,DE,23,6-3,288,2,Alabama
47,78,Tavaris Barnes,DE,26,6-4,284,3,Clemson
48,72,Anthony Lanier II,DE,24,6-6,286,3,Alabama A&M
49,64,A.J. Francis,DT,27,6-5,337,3,Maryland
50,63,Montori Hughes,DT,27,6-4,350,4,UT Martin
51,98,Matt Ioannidis,DT,24,6-3,305,3,Temple
52,96,Arthur Jones,DT,31,6-3,320,9,Syracuse
53,97,Terrell McClain,DT,29,6-2,302,8,South Florida
54,92,Stacy McGee,DT,28,6-3,341,6,Oklahoma
55,01,Ondre Pipkins,DT,23,6-3,321,1,Texas Tech
56,99,Phil Taylor Sr.,DT,29,6-3,343,5,Baylor
57,90,Ziggy Hood,NT,30,6-3,305,10,Missouri
58,52,Ryan Anderson,LB,23,6-2,253,2,Alabama
59,53,Zach Brown,LB,28,6-1,251,7,North Carolina
60,55,Chris Carter,LB,28,6-1,240,8,Fresno State
61,51,Will Compton,LB,28,6-1,235,5,Nebraska
62,54,Mason Foster,LB,28,6-1,250,8,Washington
63,58,Junior Galette,LB,29,6-2,254,8,Stillman
64,40,Josh Harvey-Clemons,LB,23,6-4,226,2,Louisville
65,91,Ryan Kerrigan,LB,29,6-4,259,8,Purdue
66,59,Alex McCalister,LB,24,6-6,239,2,Florida
67,49,Cassanova McKinzy,LB,25,6-3,257,1,Auburn
68,93,Trent Murphy,LB,27,6-6,259,5,Stanford
69,41,Otha Peters,LB,23,6-0,238,1,Louisiana
70,45,Pete Robertson,LB,25,6-2,243,1,Texas Tech
71,94,Preston Smith,LB,25,6-5,265,4,Mississippi State
72,50,Martrell Spaight,LB,24,6-0,243,4,Arkansas
73,56,Zach Vigil,LB,26,6-2,238,4,Utah State
74,26,Bashaud Breeland,CB,26,5-11,195,5,Clemson
75,47,Quinton Dunbar,CB,25,6-2,197,4,Florida
76,38,Joshua Holsey,CB,23,5-11,195,2,Auburn
77,31,Fabian Moreau,CB,23,6-0,198,2,UCLA
78,24,Josh Norman,CB,30,6-0,200,7,Coastal Carolina
79,02,James Sample,DB,25,6-2,217,3,Louisville
80,22,Deshazor Everett,S,25,6-0,195,4,Texas A&M
81,23,DeAngelo Hall,S,34,5-10,200,15,Virginia Tech
82,33,Kenny Ladler,S,25,6-0,207,2,Vanderbilt
83,35,Montae Nicholson,S,22,6-2,216,2,Michigan State
84,37,Fish Smithson,S,23,5-10,196,1,Kansas
85,03,Orion Stewart,S,24,6-2,205,1,Baylor
86,36,D.J. Swearinger,S,26,5-10,205,6,South Carolina
89,3,Dustin Hopkins,PK,27,6-2,203,5,Florida State
90,5,Tress Way,P,27,6-1,216,5,Oklahoma
91,57,Nick Sundberg,LS,30,6-0,256,9,California
0,2,Nathan Peterman,QB,23,6-2,225,2,Pittsburgh
1,5,Tyrod Taylor,QB,28,6-1,215,8,Virginia Tech
2,14,Joe Webb,QB,31,6-4,230,9,UAB
3,39,Travaris Cadet,RB,29,6-1,210,7,Appalachian State
4,36,Aaron Green,RB,25,5-11,206,1,TCU
5,26,Taiwan Jones,RB,29,6-0,195,8,Eastern Washington
6,25,LeSean McCoy,RB,29,5-11,210,10,Pittsburgh
7,45,Marcus Murphy,RB,26,5-9,195,3,Missouri
8,42,Patrick DiMarco,FB,28,6-1,234,7,South Carolina
9,35,Mike Tolbert,FB,32,5-9,250,11,Coastal Carolina
10,13,Kelvin Benjamin,WR,27,6-5,245,5,Florida State
11,12,Quan Bray,WR,24,5-10,183,4,Auburn
12,17,Jeremy Butler,WR,26,6-2,213,4,UT Martin
13,16,Malachi Dupre,WR,22,6-2,196,1,LSU
14,18,Andre Holmes,WR,29,6-4,210,7,Hillsdale
15,11,Zay Jones,WR,22,6-2,200,2,East Carolina
16,87,Jordan Matthews,WR,25,6-3,212,5,Vanderbilt
17,89,Brandon Reilly,WR,24,6-2,200,1,Nebraska
